iso3,country_name,year,GDP per capita (current US$),"Life expectancy at birth, total (years)",income_group,"Literacy rate, adult total (% of people ages 15 and above)",literacy_bucket,gdp_tier
SLB,Solomon Islands,2022,2005.4139933198,70.742,Lower middle income,77.0,60-80%,Low GDP
SLE,Sierra Leone,2022,860.1308840355,60.411,Low income,48.6399993896484,<60%,Low GDP
SLV,El Salvador,2022,5093.5183387978,71.475,Upper middle income,90.0,80-90%,Lower-Mid GDP
AZE,Azerbaijan,2022,7770.594223351,73.488,Upper middle income,100.0,90-100%,Upper-Mid GDP
SOM,"Somalia, Fed. Rep.",2022,573.1280924702,56.107,Low income,54.0,<60%,Low GDP
COM,Comoros,2022,1489.4956625797,63.68,Lower middle income,61.7099990844727,60-80%,Low GDP
SUR,Suriname,2022,6084.4387673644,70.289,Upper middle income,95.0,90-100%,Upper-Mid GDP
SRB,Serbia,2022,10022.9688543402,75.482195122,Upper middle income,99.0,90-100%,Upper-Mid GDP
SEN,Senegal,2022,1564.7452207158,67.913,Lower middle income,57.6699981689453,<60%,Low GDP
COL,Colombia,2022,6674.5960194806,73.659,Upper middle income,96.0,90-100%,Upper-Mid GDP
GIN,Guinea,2022,1416.5961201176,58.985,Lower middle income,45.3300018310547,<60%,Low GDP
QAT,Qatar,2022,88701.463350036,81.559,High income,98.0,90-100%,High GDP
BEN,Benin,2022,1264.7076597666,59.954,Lower middle income,47.0999984741211,<60%,Low GDP
GHA,Ghana,2022,2240.2794509457,63.945,Lower middle income,80.379997253418,80-90%,Lower-Mid GDP
SYC,Seychelles,2022,17167.1909760833,73.8487804878,High income,96.1999969482422,90-100%,High GDP
ROU,Romania,2022,15557.8826247584,75.3048780488,High income,99.0,90-100%,High GDP
CPV,Cabo Verde,2022,4323.3136266597,74.722,Upper middle income,91.0,90-100%,Lower-Mid GDP
RWA,Rwanda,2022,975.4693158717,67.129,Low income,79.0,60-80%,Low GDP
GEO,Georgia,2022,6729.8465993028,71.587,Upper middle income,100.0,90-100%,Upper-Mid GDP
SWZ,Eswatini,2022,3852.0857327295,56.36,Lower middle income,90.7470169067383,90-100%,Lower-Mid GDP
SAU,Saudi Arabia,2022,34454.1957708412,77.905,High income,98.0,90-100%,High GDP
SDN,Sudan,2022,1046.2408447266,65.578,Low income,60.6971817016602,60-80%,Low GDP
RUS,Russian Federation,2022,15445.2421875,72.5456097561,High income,100.0,90-100%,High GDP
BTN,Bhutan,2022,3711.3276790216,72.229,Lower middle income,72.0999984741211,60-80%,Lower-Mid GDP
NIC,Nicaragua,2022,2325.1673785187,74.615,Lower middle income,82.6145477294922,80-90%,Lower-Mid GDP
MAC,"Macao SAR, China",2022,36909.9564090312,85.377,High income,97.1100006103516,90-100%,High GDP
BRB,Barbados,2022,22164.0260273876,77.706,High income,99.5,90-100%,High GDP
MAR,Morocco,2022,3455.3962402344,74.973,Lower middle income,77.3499984741211,60-80%,Lower-Mid GDP
UZB,Uzbekistan,2022,2578.6668939422,71.674,Lower middle income,100.0,90-100%,Lower-Mid GDP
MDA,Moldova,2022,5738.4247351562,68.621,Upper middle income,99.5999984741211,90-100%,Upper-Mid GDP
IND,India,2022,2352.6139245208,67.744,Lower middle income,77.0,60-80%,Lower-Mid GDP
AGO,Angola,2022,2929.6944546727,61.929,Lower middle income,72.4000015258789,60-80%,Lower-Mid GDP
MDG,Madagascar,2022,497.242514793,65.23,Low income,77.4800033569336,60-80%,Low GDP
BRA,Brazil,2022,9281.3333444123,73.425,Upper middle income,94.6900024414062,90-100%,Upper-Mid GDP
MDV,Maldives,2022,11786.0091545343,80.839,Upper middle income,97.8600006103516,90-100%,Upper-Mid GDP
MEX,Mexico,2022,11385.4070757929,74.832,Upper middle income,95.0,90-100%,Upper-Mid GDP
MHL,Marshall Islands,2022,6322.8285550316,65.146,Upper middle income,98.0,90-100%,Upper-Mid GDP
URY,Uruguay,2022,20691.9738991763,78.0,High income,99.0,90-100%,High GDP
BOL,Bolivia,2022,3643.9282696868,64.928,Lower middle income,94.0,90-100%,Lower-Mid GDP
CHN,China,2022,12662.5826712038,78.587,Upper middle income,97.0,90-100%,Upper-Mid GDP
VCT,St. Vincent and the Grenadines,2022,9471.1462731767,68.972,Upper middle income,96.9000015258789,90-100%,Upper-Mid GDP
IDN,Indonesia,2022,4730.745489105,68.25,Upper middle income,96.0,90-100%,Lower-Mid GDP
LVA,Latvia,2022,20229.4613617326,74.5804878049,High income,99.8899993896484,90-100%,High GDP
LBY,Libya,2022,5986.6369485126,72.151,Upper middle income,76.5,60-80%,Upper-Mid GDP
VNM,Viet Nam,2022,4116.3857609415,74.58,Lower middle income,96.0,90-100%,Lower-Mid GDP
LKA,Sri Lanka,2022,3342.719896462,76.61,Lower middle income,92.0,90-100%,Lower-Mid GDP
IRQ,Iraq,2022,6504.1242839355,71.336,Upper middle income,86.0,80-90%,Upper-Mid GDP
BRN,Brunei Darussalam,2022,36632.9280421411,74.551,High income,97.5899963378906,90-100%,High GDP
AFG,Afghanistan,2022,357.2611527981,62.879,Low income,37.0,<60%,Low GDP
LSO,Lesotho,2022,1029.9955333383,53.036,Lower middle income,82.0100021362305,80-90%,Low GDP
LTU,Lithuania,2022,25085.784063499,75.7926829268,High income,99.8300018310547,90-100%,High GDP
IRN,"Iran, Islamic Rep.",2022,4405.0929151979,74.556,Upper middle income,88.9599990844727,80-90%,Lower-Mid GDP
CHL,Chile,2022,15451.1319576678,79.519,High income,97.1600036621094,90-100%,High GDP
DOM,Dominican Republic,2022,10109.5234003521,74.17,Upper middle income,95.5,90-100%,Upper-Mid GDP
MKD,North Macedonia,2022,7606.2375253797,74.4248780488,Upper middle income,97.5999984741211,90-100%,Upper-Mid GDP
UKR,Ukraine,2022,4199.6708984375,68.5879268293,Upper middle income,100.0,90-100%,Lower-Mid GDP
MWI,Malawi,2022,604.2697511845,62.898,Low income,68.0800018310547,60-80%,Low GDP
MYS,Malaysia,2022,11748.0919307944,76.26,Upper middle income,96.0,90-100%,Upper-Mid GDP
BLR,Belarus,2022,7994.6480607489,73.1114634146,Upper middle income,100.0,90-100%,Upper-Mid GDP
ECU,Ecuador,2022,6540.998245221,77.894,Upper middle income,94.0,90-100%,Upper-Mid GDP
TUN,Tunisia,2022,3678.4002341135,74.263,Lower middle income,85.2149276733398,80-90%,Lower-Mid GDP
NAM,Namibia,2022,4349.0453224897,58.059,Lower middle income,92.25,90-100%,Lower-Mid GDP
NCL,New Caledonia,2022,33516.363085906,80.9820731707,High income,97.3000030517578,90-100%,High GDP
GUY,Guyana,2022,17913.4910146288,65.989,High income,90.0299987792969,90-100%,High GDP
NER,Niger,2022,609.7451475749,62.08,Low income,38.0999984741211,<60%,Low GDP
BIH,Bosnia and Herzegovina,2022,7655.5942102438,75.293,Upper middle income,98.3000030517578,90-100%,Upper-Mid GDP
TTO,Trinidad and Tobago,2022,22004.1997884125,74.708,High income,97.9000015258789,90-100%,High GDP
NGA,Nigeria,2022,2139.3747847697,53.633,Lower middle income,63.1555404663086,60-80%,Lower-Mid GDP
CMR,Cameroon,2022,1604.8772695489,60.958,Lower middle income,78.2300033569336,60-80%,Low GDP
GUM,Guam,2022,41833.1517132825,78.33,High income,99.5599975585938,90-100%,High GDP
EGY,"Egypt, Arab Rep.",2022,4233.3078374486,70.159,Lower middle income,74.5,60-80%,Lower-Mid GDP
TUR,Turkiye,2022,10674.504157865,78.475,Upper middle income,97.0,90-100%,Upper-Mid GDP
ARE,United Arab Emirates,2022,49899.0652978649,79.196,High income,98.0,90-100%,High GDP
HND,Honduras,2022,3003.289968264,70.728,Lower middle income,89.0,80-90%,Lower-Mid GDP
CIV,Cote d'Ivoire,2022,2308.7065466037,58.916,Lower middle income,50.0006408691406,<60%,Lower-Mid GDP
MLI,Mali,2022,813.9650340732,59.417,Low income,31.0,<60%,Low GDP
HUN,Hungary,2022,18353.298364905,76.0170731707,High income,99.0999984741211,90-100%,High GDP
MLT,Malta,2022,36142.2058531852,82.7,High income,94.9400024414062,90-100%,High GDP
ALB,Albania,2022,6846.4261426604,76.833,Upper middle income,98.5,90-100%,Upper-Mid GDP
UGA,Uganda,2022,963.0673141172,63.638,Low income,80.5899963378906,80-90%,Low GDP
MMR,Myanmar,2022,1158.0500503433,67.256,Lower middle income,89.0,80-90%,Low GDP
HTI,Haiti,2022,1760.6263566878,63.728,Lower middle income,68.0098571777344,60-80%,Low GDP
TON,Tonga,2022,4933.0747914311,71.27,Upper middle income,99.4000015258789,90-100%,Lower-Mid GDP
MNE,Montenegro,2022,10093.4387007266,76.187804878,Upper middle income,98.9800033569336,90-100%,Upper-Mid GDP
TZA,Tanzania,2022,1207.8530273438,66.782,Lower middle income,82.0199966430664,80-90%,Low GDP
MNG,Mongolia,2022,4993.5148746349,72.667,Upper middle income,99.0,90-100%,Lower-Mid GDP
MOZ,Mozambique,2022,578.2516637514,59.625,Low income,60.0,<60%,Low GDP
HRV,Croatia,2022,18466.0955472648,77.5756097561,High income,99.4499969482422,90-100%,High GDP
MRT,Mauritania,2022,1960.3524007742,64.691,Lower middle income,66.9599990844727,60-80%,Low GDP
BLZ,Belize,2022,7068.4547826972,70.962,Upper middle income,90.9160385131836,90-100%,Upper-Mid GDP
MUS,Mauritius,2022,10239.7970461095,73.5146341463,Upper middle income,92.1500015258789,90-100%,Upper-Mid GDP
DZA,Algeria,2022,4961.5525766473,77.129,Upper middle income,81.4078369140625,80-90%,Lower-Mid GDP
ZWE,Zimbabwe,2022,2040.5524591073,59.391,Lower middle income,89.8499984741211,80-90%,Low GDP
