iso3,country_name,region,income_group
dom,Dominican Republic,Latin America & Caribbean ,Upper middle income
dza,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
ecu,Ecuador,Latin America & Caribbean ,Upper middle income
egy,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
eri,Eritrea,Sub-Saharan Africa ,Low income
esp,Spain,Europe & Central Asia,High income
est,Estonia,Europe & Central Asia,High income
eth,Ethiopia,Sub-Saharan Africa ,Not classified
fin,Finland,Europe & Central Asia,High income
fji,Fiji,East Asia & Pacific,Upper middle income
fra,France,Europe & Central Asia,High income
fro,Faroe Islands,Europe & Central Asia,High income
fsm,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income
gab,Gabon,Sub-Saharan Africa ,Upper middle income
gbr,United Kingdom,Europe & Central Asia,High income
geo,Georgia,Europe & Central Asia,Upper middle income
gha,Ghana,Sub-Saharan Africa ,Lower middle income
gib,Gibraltar,Europe & Central Asia,High income
gin,Guinea,Sub-Saharan Africa ,Lower middle income
gmb,"Gambia, The",Sub-Saharan Africa ,Low income
gnb,Guinea-Bissau,Sub-Saharan Africa ,Low income
gnq,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income
grc,Greece,Europe & Central Asia,High income
grd,Grenada,Latin America & Caribbean ,Upper middle income
grl,Greenland,Europe & Central Asia,High income
gtm,Guatemala,Latin America & Caribbean ,Upper middle income
gum,Guam,East Asia & Pacific,High income
guy,Guyana,Latin America & Caribbean ,High income
hkg,"Hong Kong SAR, China",East Asia & Pacific,High income
hnd,Honduras,Latin America & Caribbean ,Lower middle income
hrv,Croatia,Europe & Central Asia,High income
hti,Haiti,Latin America & Caribbean ,Lower middle income
hun,Hungary,Europe & Central Asia,High income
idn,Indonesia,East Asia & Pacific,Upper middle income
imn,Isle of Man,Europe & Central Asia,High income
ind,India,South Asia,Lower middle income
irl,Ireland,Europe & Central Asia,High income
irn,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
irq,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
isl,Iceland,Europe & Central Asia,High income
isr,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income
ita,Italy,Europe & Central Asia,High income
jam,Jamaica,Latin America & Caribbean ,Upper middle income
jor,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
jpn,Japan,East Asia & Pacific,High income
kaz,Kazakhstan,Europe & Central Asia,Upper middle income
ken,Kenya,Sub-Saharan Africa ,Lower middle income
kgz,Kyrgyz Republic,Europe & Central Asia,Lower middle income
khm,Cambodia,East Asia & Pacific,Lower middle income
kir,Kiribati,East Asia & Pacific,Lower middle income
kna,St. Kitts and Nevis,Latin America & Caribbean ,High income
kor,"Korea, Rep.",East Asia & Pacific,High income
kwt,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income
lao,Lao PDR,East Asia & Pacific,Lower middle income
lbn,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
lbr,Liberia,Sub-Saharan Africa ,Low income
lby,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
lca,St. Lucia,Latin America & Caribbean ,Upper middle income
lie,Liechtenstein,Europe & Central Asia,High income
lka,Sri Lanka,South Asia,Lower middle income
lso,Lesotho,Sub-Saharan Africa ,Lower middle income
ltu,Lithuania,Europe & Central Asia,High income
lux,Luxembourg,Europe & Central Asia,High income
lva,Latvia,Europe & Central Asia,High income
mac,"Macao SAR, China",East Asia & Pacific,High income
maf,St. Martin (French part),Latin America & Caribbean ,High income
mar,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
mco,Monaco,Europe & Central Asia,High income
mda,Moldova,Europe & Central Asia,Upper middle income
mdg,Madagascar,Sub-Saharan Africa ,Low income
mdv,Maldives,South Asia,Upper middle income
mex,Mexico,Latin America & Caribbean ,Upper middle income
mhl,Marshall Islands,East Asia & Pacific,Upper middle income
mkd,North Macedonia,Europe & Central Asia,Upper middle income
mli,Mali,Sub-Saharan Africa ,Low income
mlt,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income
mmr,Myanmar,East Asia & Pacific,Lower middle income
mne,Montenegro,Europe & Central Asia,Upper middle income
mng,Mongolia,East Asia & Pacific,Upper middle income
mnp,Northern Mariana Islands,East Asia & Pacific,High income
moz,Mozambique,Sub-Saharan Africa ,Low income
mrt,Mauritania,Sub-Saharan Africa ,Lower middle income
mus,Mauritius,Sub-Saharan Africa ,Upper middle income
mwi,Malawi,Sub-Saharan Africa ,Low income
mys,Malaysia,East Asia & Pacific,Upper middle income
nam,Namibia,Sub-Saharan Africa ,Lower middle income
ncl,New Caledonia,East Asia & Pacific,High income
ner,Niger,Sub-Saharan Africa ,Low income
nga,Nigeria,Sub-Saharan Africa ,Lower middle income
nic,Nicaragua,Latin America & Caribbean ,Lower middle income
nld,Netherlands,Europe & Central Asia,High income
nor,Norway,Europe & Central Asia,High income
npl,Nepal,South Asia,Lower middle income
nru,Nauru,East Asia & Pacific,High income
nzl,New Zealand,East Asia & Pacific,High income
omn,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income
pak,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
pan,Panama,Latin America & Caribbean ,High income
per,Peru,Latin America & Caribbean ,Upper middle income
phl,Philippines,East Asia & Pacific,Lower middle income
plw,Palau,East Asia & Pacific,High income
png,Papua New Guinea,East Asia & Pacific,Lower middle income
pol,Poland,Europe & Central Asia,High income
pri,Puerto Rico (US),Latin America & Caribbean ,High income
prk,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income
prt,Portugal,Europe & Central Asia,High income
pry,Paraguay,Latin America & Caribbean ,Upper middle income
pse,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
pyf,French Polynesia,East Asia & Pacific,High income
qat,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income
rou,Romania,Europe & Central Asia,High income
rus,Russian Federation,Europe & Central Asia,High income
rwa,Rwanda,Sub-Saharan Africa ,Low income
sau,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income
sdn,Sudan,Sub-Saharan Africa ,Low income
sen,Senegal,Sub-Saharan Africa ,Lower middle income
sgp,Singapore,East Asia & Pacific,High income
slb,Solomon Islands,East Asia & Pacific,Lower middle income
sle,Sierra Leone,Sub-Saharan Africa ,Low income
slv,El Salvador,Latin America & Caribbean ,Upper middle income
smr,San Marino,Europe & Central Asia,High income
som,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income
srb,Serbia,Europe & Central Asia,Upper middle income
ssd,South Sudan,Sub-Saharan Africa ,Low income
stp,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income
sur,Suriname,Latin America & Caribbean ,Upper middle income
svk,Slovak Republic,Europe & Central Asia,High income
svn,Slovenia,Europe & Central Asia,High income
swe,Sweden,Europe & Central Asia,High income
swz,Eswatini,Sub-Saharan Africa ,Lower middle income
sxm,Sint Maarten (Dutch part),Latin America & Caribbean ,High income
syc,Seychelles,Sub-Saharan Africa ,High income
syr,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income
tca,Turks and Caicos Islands,Latin America & Caribbean ,High income
tcd,Chad,Sub-Saharan Africa ,Low income
tgo,Togo,Sub-Saharan Africa ,Low income
tha,Thailand,East Asia & Pacific,Upper middle income
tjk,Tajikistan,Europe & Central Asia,Lower middle income
tkm,Turkmenistan,Europe & Central Asia,Upper middle income
tls,Timor-Leste,East Asia & Pacific,Lower middle income
ton,Tonga,East Asia & Pacific,Upper middle income
tto,Trinidad and Tobago,Latin America & Caribbean ,High income
tun,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
tur,Turkiye,Europe & Central Asia,Upper middle income
tuv,Tuvalu,East Asia & Pacific,Upper middle income
tza,Tanzania,Sub-Saharan Africa ,Lower middle income
uga,Uganda,Sub-Saharan Africa ,Low income
ukr,Ukraine,Europe & Central Asia,Upper middle income
ury,Uruguay,Latin America & Caribbean ,High income
usa,United States,North America,High income
uzb,Uzbekistan,Europe & Central Asia,Lower middle income
vct,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income
ven,"Venezuela, RB",Latin America & Caribbean ,Not classified
vgb,British Virgin Islands,Latin America & Caribbean ,High income
vir,Virgin Islands (U.S.),Latin America & Caribbean ,High income
vnm,Viet Nam,East Asia & Pacific,Lower middle income
vut,Vanuatu,East Asia & Pacific,Lower middle income
wsm,Samoa,East Asia & Pacific,Upper middle income
xkx,Kosovo,Europe & Central Asia,Upper middle income
yem,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income
zaf,South Africa,Sub-Saharan Africa ,Upper middle income
zmb,Zambia,Sub-Saharan Africa ,Lower middle income
zwe,Zimbabwe,Sub-Saharan Africa ,Lower middle income
